response_id,department,country,region,gender_group,age_band,job_level,tenure_band,work_model,Belonging,Employee Voice,Psychological Safety,Fairness & Opportunity,Inclusive Leadership,inclusion_index_1_5,inclusion_index_0_100,inclusion_outcome
R00018,Operations,IN,APAC,Women,40-49,Individual contributor,< 1 year,Onsite,3.0,3.333,2.667,4.0,4.0,3.4,60.0,3.333
R00019,Operations,IN,APAC,Men,18-29,Individual contributor,3-5 years,Onsite,3.333,2.667,2.0,3.667,3.667,3.067,51.7,3.333
R00021,Operations,IN,APAC,Men,40-49,Individual contributor,3-5 years,Onsite,4.0,3.0,4.0,4.333,3.333,3.733,68.3,2.667
R00023,Operations,IN,APAC,Men,30-39,Individual contributor,3-5 years,Onsite,3.667,4.0,2.0,2.333,2.667,2.933,48.3,2.0
R00024,Operations,IN,APAC,Men,18-29,Manager,< 1 year,Remote,3.667,3.667,3.0,3.667,3.667,3.533,63.3,3.0
R00025,Operations,IN,APAC,Men,18-29,Team lead,10 years +,Onsite,4.333,4.0,4.0,3.667,2.667,3.733,68.3,3.333
R00028,Operations,IN,APAC,Men,50-59,Individual contributor,< 1 year,Onsite,2.333,2.667,3.0,2.0,3.667,2.733,43.3,2.333
R00030,Operations,IN,APAC,Men,18-29,Individual contributor,3-5 years,Onsite,3.0,2.333,4.0,1.667,3.667,2.933,48.3,2.0
R00032,Operations,IN,APAC,Men,40-49,Individual contributor,3-5 years,Onsite,3.667,4.333,2.0,3.667,4.0,3.533,63.3,4.0
R00033,Operations,IN,APAC,Women,40-49,Individual contributor,< 1 year,Remote,3.333,3.0,3.667,4.667,4.333,3.8,70.0,4.0
R00036,Operations,IN,APAC,Men,60+,Individual contributor,1-2 years,Hybrid,3.333,3.667,4.0,2.667,4.0,3.533,63.3,3.0
R00040,Operations,IN,APAC,Women,18-29,Individual contributor,3-5 years,Onsite,3.0,1.667,2.333,3.333,4.333,2.933,48.3,3.0
R00043,Operations,IN,APAC,Men,40-49,Individual contributor,6-10 years,Onsite,3.333,2.0,2.333,3.333,3.0,2.8,45.0,1.667
R00044,Operations,IN,APAC,Women,30-39,Team lead,3-5 years,Hybrid,4.667,4.0,3.0,4.333,4.667,4.133,78.3,3.0
R00046,Operations,IN,APAC,Women,18-29,Individual contributor,6-10 years,Onsite,2.667,3.667,1.333,3.667,3.333,2.933,48.3,3.333
R00047,Operations,IN,APAC,Men,30-39,Individual contributor,6-10 years,Onsite,3.667,1.667,2.667,3.667,3.333,3.0,50.0,3.0
R00048,Operations,IN,APAC,Women,60+,Individual contributor,3-5 years,Onsite,2.667,4.0,3.0,3.0,4.0,3.333,58.3,4.0
R00049,Operations,IN,APAC,Men,30-39,Individual contributor,6-10 years,Onsite,3.333,3.0,2.0,4.333,2.667,3.067,51.7,3.0
R00050,Operations,IN,APAC,Men,50-59,Individual contributor,10 years +,Onsite,4.667,2.333,4.0,2.667,2.667,3.267,56.7,5.0
R00051,Operations,IN,APAC,Women,18-29,Individual contributor,1-2 years,Onsite,3.667,2.667,2.333,3.0,2.667,2.867,46.7,3.333
R00052,Operations,IN,APAC,Women,18-29,Individual contributor,6-10 years,Onsite,3.0,2.333,2.333,4.667,4.0,3.267,56.7,2.333
R00053,Operations,US,North America,Men,40-49,Individual contributor,6-10 years,Onsite,3.667,2.0,3.667,3.667,4.667,3.533,63.3,3.667
R00054,Operations,US,North America,Men,50-59,Individual contributor,3-5 years,Hybrid,5.0,3.333,2.667,2.667,3.0,3.333,58.3,4.0
R00055,Operations,US,North America,Women,50-59,Team lead,3-5 years,Onsite,5.0,4.667,4.0,2.667,5.0,4.267,81.7,4.0
R00056,Operations,US,North America,Men,40-49,Individual contributor,1-2 years,Hybrid,3.667,4.333,4.333,4.667,4.667,4.333,83.3,4.333
R00058,Operations,US,North America,Women,30-39,Individual contributor,10 years +,Onsite,5.0,2.333,5.0,2.667,5.0,4.0,75.0,3.667
R00061,Operations,US,North America,Women,30-39,Individual contributor,6-10 years,Onsite,4.0,2.0,3.0,2.667,3.667,3.067,51.7,3.667
R00062,Operations,US,North America,Men,40-49,Individual contributor,< 1 year,Onsite,4.333,3.0,3.333,4.0,5.0,3.933,73.3,3.0
R00063,Operations,US,North America,Women,50-59,Individual contributor,1-2 years,Onsite,4.667,2.0,4.333,3.333,5.0,3.867,71.7,4.667
R00064,Operations,US,North America,Men,18-29,Manager,< 1 year,Onsite,5.0,4.0,4.667,4.667,5.0,4.667,91.7,4.667
R00065,Operations,US,North America,Women,40-49,Individual contributor,6-10 years,Onsite,4.333,2.0,4.0,4.333,5.0,3.933,73.3,4.0
R00066,Operations,US,North America,Men,40-49,Individual contributor,< 1 year,Onsite,5.0,3.333,3.667,3.667,5.0,4.133,78.3,4.667
R00067,Operations,US,North America,Men,40-49,Individual contributor,3-5 years,Remote,3.0,3.667,4.333,3.333,4.0,3.667,66.7,3.667
R00069,Operations,US,North America,Men,50-59,Manager,10 years +,Onsite,4.0,3.667,3.333,2.0,4.0,3.4,60.0,3.333
R00070,Operations,IN,APAC,Women,40-49,Team lead,1-2 years,Onsite,4.0,2.333,3.667,3.0,3.667,3.333,58.3,3.667
R00072,Operations,IN,APAC,Women,40-49,Individual contributor,6-10 years,Onsite,2.333,4.333,3.667,2.667,2.667,3.133,53.3,3.333
R00074,Operations,IN,APAC,Men,40-49,Individual contributor,< 1 year,Onsite,4.667,4.333,2.333,4.0,4.333,3.933,73.3,4.0
R00075,Operations,IN,APAC,Men,30-39,Individual contributor,1-2 years,Remote,4.333,4.0,3.0,2.667,2.333,3.267,56.7,4.0
R00076,Operations,IN,APAC,Women,30-39,Individual contributor,1-2 years,Onsite,3.667,2.667,2.333,4.0,3.667,3.267,56.7,3.0
R00078,Operations,IN,APAC,Men,50-59,Individual contributor,< 1 year,Onsite,4.667,3.333,4.667,4.333,3.333,4.067,76.7,4.333
R00080,Operations,IN,APAC,Women,40-49,Individual contributor,3-5 years,Onsite,4.0,1.333,2.667,4.333,4.667,3.4,60.0,3.667
R00081,Operations,IN,APAC,Men,18-29,Individual contributor,6-10 years,Onsite,4.333,3.0,4.667,2.0,3.333,3.467,61.7,3.0
R00082,Operations,IN,APAC,Men,30-39,Individual contributor,6-10 years,Onsite,4.333,4.333,3.0,3.333,4.333,3.867,71.7,2.0
R00087,Operations,IN,APAC,Men,40-49,Individual contributor,< 1 year,Onsite,4.0,2.667,1.0,4.333,4.0,3.2,55.0,2.667
R00088,Operations,IN,APAC,Men,40-49,Individual contributor,1-2 years,Onsite,5.0,2.667,3.333,2.667,2.333,3.2,55.0,2.333
R00089,Operations,IN,APAC,Men,30-39,Manager,3-5 years,Onsite,4.0,4.0,3.0,2.333,3.667,3.4,60.0,4.0
R00090,Operations,IN,APAC,Women,30-39,Individual contributor,3-5 years,Onsite,3.333,4.333,3.333,3.0,3.667,3.533,63.3,3.667
R00091,Operations,IN,APAC,Men,50-59,Individual contributor,1-2 years,Onsite,2.667,2.667,2.0,3.0,3.0,2.667,41.7,3.333
R00092,Operations,IN,APAC,Men,40-49,Individual contributor,3-5 years,Onsite,4.667,3.667,4.0,3.333,4.333,4.0,75.0,3.333
R00093,Operations,IN,APAC,Women,30-39,Individual contributor,1-2 years,Hybrid,2.667,3.667,2.667,2.667,4.333,3.2,55.0,3.333
R00095,Operations,IN,APAC,Men,40-49,Individual contributor,6-10 years,Onsite,4.0,4.333,4.0,4.0,4.0,4.067,76.7,5.0
R00096,Operations,IN,APAC,Non-binary / self-described,30-39,Individual contributor,6-10 years,Onsite,5.0,3.667,2.333,2.0,4.0,3.4,60.0,2.333
R00097,Operations,IN,APAC,Men,50-59,Individual contributor,1-2 years,Onsite,4.667,3.333,4.667,2.667,4.667,4.0,75.0,3.667
R00098,Operations,IN,APAC,Women,18-29,Individual contributor,3-5 years,Onsite,3.667,3.667,2.333,3.0,4.0,3.333,58.3,3.333
R00100,Operations,IN,APAC,Men,40-49,Individual contributor,3-5 years,Onsite,2.0,1.667,4.0,3.333,3.667,2.933,48.3,2.667
R00101,Operations,IN,APAC,Men,40-49,Individual contributor,6-10 years,Onsite,2.0,3.0,1.333,2.333,3.333,2.4,35.0,2.333
R00102,Operations,IN,APAC,Men,30-39,Individual contributor,10 years +,Onsite,3.0,3.0,1.0,3.333,4.0,2.867,46.7,1.667
R00103,Operations,IN,APAC,Women,50-59,Individual contributor,1-2 years,Onsite,3.0,4.0,4.0,2.0,3.667,3.333,58.3,3.0
R00104,Operations,IN,APAC,Women,60+,Individual contributor,< 1 year,Onsite,4.0,3.667,4.0,3.333,4.0,3.8,70.0,4.667
R00105,Operations,IN,APAC,Men,40-49,Individual contributor,6-10 years,Onsite,2.667,2.333,3.333,4.667,3.0,3.2,55.0,3.333
R00106,Operations,IN,APAC,Men,30-39,Individual contributor,6-10 years,Onsite,4.333,2.667,3.667,2.667,4.0,3.467,61.7,3.667
R00109,Operations,IN,APAC,Women,30-39,Individual contributor,6-10 years,Onsite,3.0,2.667,1.333,3.333,2.667,2.6,40.0,3.0
R00111,Operations,IN,APAC,Men,40-49,Team lead,< 1 year,Onsite,4.667,4.667,4.0,3.333,4.333,4.2,80.0,4.667
R00112,Operations,IN,APAC,Men,18-29,Individual contributor,1-2 years,Onsite,4.333,3.0,2.667,4.667,4.333,3.8,70.0,3.667
R00113,Operations,IN,APAC,Women,18-29,Individual contributor,3-5 years,Onsite,4.0,4.0,2.0,3.333,3.667,3.4,60.0,4.667
R00116,Operations,IN,APAC,Women,50-59,Individual contributor,6-10 years,Onsite,1.333,3.0,3.333,3.333,4.333,3.067,51.7,3.333
R00121,Operations,IN,APAC,Women,50-59,Team lead,10 years +,Onsite,3.0,3.0,2.0,2.333,4.333,2.933,48.3,3.0
R00122,Operations,DE,EMEA,Men,18-29,Individual contributor,1-2 years,Onsite,3.333,2.333,3.0,3.0,3.333,3.0,50.0,3.667
R00124,Operations,DE,EMEA,Women,18-29,Individual contributor,1-2 years,Onsite,4.333,1.667,3.667,1.667,4.667,3.2,55.0,3.0
R00126,Operations,DE,EMEA,Non-binary / self-described,40-49,Individual contributor,1-2 years,Onsite,4.0,2.333,3.0,3.333,4.0,3.333,58.3,3.333
R00130,Operations,DE,EMEA,Women,30-39,Individual contributor,1-2 years,Onsite,2.667,3.667,4.0,4.0,4.0,3.667,66.7,3.333
R00131,Operations,DE,EMEA,Women,60+,Manager,6-10 years,Onsite,4.0,4.0,4.667,3.667,4.0,4.067,76.7,3.333
R00132,Operations,DE,EMEA,Men,18-29,Individual contributor,3-5 years,Remote,4.0,2.0,2.0,4.0,3.667,3.133,53.3,3.667
R00133,Operations,DE,EMEA,Women,60+,Individual contributor,6-10 years,Onsite,3.333,3.0,3.0,2.667,4.333,3.267,56.7,2.333
R00135,Operations,DE,EMEA,Women,30-39,Individual contributor,< 1 year,Remote,3.0,4.0,4.667,2.0,3.333,3.4,60.0,3.333
R00137,Operations,DE,EMEA,Non-binary / self-described,50-59,Individual contributor,1-2 years,Onsite,5.0,2.0,3.333,3.0,3.667,3.4,60.0,4.0
R00138,Operations,DE,EMEA,Men,40-49,Team lead,3-5 years,Onsite,4.333,4.0,4.333,3.0,5.0,4.133,78.3,3.333
R00141,Operations,DE,EMEA,Women,40-49,Individual contributor,3-5 years,Hybrid,4.667,3.0,3.667,2.667,2.0,3.2,55.0,3.667
R00142,Operations,DE,EMEA,Men,50-59,Individual contributor,1-2 years,Onsite,4.333,2.667,2.667,4.0,5.0,3.733,68.3,3.667
R00143,Operations,DE,EMEA,Men,40-49,Individual contributor,3-5 years,Onsite,3.667,4.667,2.667,3.0,4.333,3.667,66.7,2.667
R00144,Operations,DE,EMEA,Women,40-49,Individual contributor,< 1 year,Onsite,3.667,2.667,3.333,3.667,4.0,3.467,61.7,5.0
R00146,Operations,DE,EMEA,Non-binary / self-described,30-39,Individual contributor,10 years +,Hybrid,3.667,3.333,3.667,2.0,3.667,3.267,56.7,3.0
R00147,Operations,DE,EMEA,Men,50-59,Team lead,1-2 years,Onsite,3.667,2.333,4.333,3.667,5.0,3.8,70.0,3.333
R00148,Operations,DE,EMEA,Women,50-59,Individual contributor,10 years +,Onsite,3.0,4.0,2.667,4.0,3.667,3.467,61.7,4.333
R00149,Operations,DE,EMEA,Men,50-59,Individual contributor,1-2 years,Onsite,4.333,3.0,2.667,4.667,3.667,3.667,66.7,3.333
R00150,Operations,DE,EMEA,Non-binary / self-described,30-39,Team lead,10 years +,Hybrid,3.667,4.0,4.333,4.0,3.333,3.867,71.7,3.0
R00151,Operations,DE,EMEA,Men,50-59,Individual contributor,1-2 years,Onsite,3.667,3.667,4.667,4.0,3.667,3.933,73.3,3.333
R00152,Operations,DE,EMEA,Women,40-49,Manager,3-5 years,Onsite,4.0,4.667,4.0,3.333,4.0,4.0,75.0,3.333
R00154,Operations,DE,EMEA,Women,30-39,Individual contributor,1-2 years,Onsite,3.0,4.333,4.0,3.667,3.667,3.733,68.3,4.0
R00155,Operations,DE,EMEA,Men,60+,Team lead,6-10 years,Onsite,3.667,4.0,4.0,3.0,4.0,3.733,68.3,2.333
R00156,Operations,DE,EMEA,Women,30-39,Individual contributor,1-2 years,Remote,3.333,2.667,3.333,4.333,3.333,3.4,60.0,4.0
R00157,Operations,DE,EMEA,Women,50-59,Team lead,3-5 years,Onsite,3.333,2.333,2.667,2.0,5.0,3.067,51.7,4.0
R00158,Operations,DE,EMEA,Women,40-49,Manager,6-10 years,Onsite,3.333,2.667,4.0,3.0,4.333,3.467,61.7,2.667
R00161,Operations,DE,EMEA,Men,18-29,Team lead,1-2 years,Onsite,4.667,4.0,3.0,2.333,4.0,3.6,65.0,3.667
R00162,Operations,DE,EMEA,Men,18-29,Team lead,10 years +,Onsite,3.667,4.333,3.667,3.667,3.333,3.733,68.3,3.667
R00165,Operations,US,North America,Women,60+,Individual contributor,< 1 year,Onsite,3.667,4.667,3.667,4.667,3.667,4.067,76.7,3.667
R00166,Operations,US,North America,Non-binary / self-described,60+,Individual contributor,10 years +,Onsite,4.667,4.0,2.333,3.667,4.333,3.8,70.0,3.667
R00167,Operations,US,North America,Women,40-49,Individual contributor,6-10 years,Onsite,3.667,3.667,3.0,3.667,4.0,3.6,65.0,4.0
R00172,Operations,US,North America,Women,18-29,Team lead,< 1 year,Onsite,4.0,4.667,2.333,5.0,4.0,4.0,75.0,4.667
R00173,Operations,US,North America,Men,40-49,Manager,3-5 years,Onsite,3.0,3.0,3.667,3.0,4.333,3.4,60.0,3.333
R00175,Operations,US,North America,Men,30-39,Individual contributor,3-5 years,Onsite,5.0,3.667,2.333,3.333,5.0,3.867,71.7,4.0
R00176,Operations,US,North America,Men,30-39,Individual contributor,6-10 years,Onsite,3.333,3.667,3.0,4.0,2.667,3.333,58.3,3.0
R00178,Operations,US,North America,Women,50-59,Individual contributor,10 years +,Onsite,4.0,3.333,3.333,2.667,3.333,3.333,58.3,4.333
R00179,Operations,US,North America,Men,30-39,Individual contributor,3-5 years,Onsite,4.333,3.667,3.333,2.667,3.667,3.533,63.3,3.0
R00180,Operations,US,North America,Men,40-49,Individual contributor,< 1 year,Onsite,4.333,4.667,2.667,4.0,2.667,3.667,66.7,4.333
R00181,Operations,DE,EMEA,Men,40-49,Individual contributor,1-2 years,Onsite,3.667,2.0,3.0,1.667,4.0,2.867,46.7,2.333
R00182,Operations,DE,EMEA,Men,18-29,Individual contributor,3-5 years,Onsite,3.667,2.0,4.0,3.0,4.0,3.333,58.3,3.667
R00183,Operations,DE,EMEA,Non-binary / self-described,30-39,Individual contributor,1-2 years,Onsite,4.333,2.667,4.333,1.667,4.667,3.533,63.3,3.667
R00187,Operations,DE,EMEA,Men,30-39,Individual contributor,3-5 years,Onsite,5.0,2.667,3.0,3.0,4.0,3.533,63.3,3.0
R00188,Operations,DE,EMEA,Men,30-39,Individual contributor,< 1 year,Onsite,3.667,2.667,4.0,3.667,3.333,3.467,61.7,3.667
R00189,Operations,DE,EMEA,Men,30-39,Individual contributor,1-2 years,Onsite,2.667,2.667,3.0,4.0,3.667,3.2,55.0,3.667
R00190,Operations,DE,EMEA,Men,30-39,Individual contributor,1-2 years,Onsite,4.0,3.667,4.0,4.667,3.667,4.0,75.0,4.667
R00191,Operations,DE,EMEA,Men,18-29,Individual contributor,3-5 years,Onsite,3.0,3.667,2.333,2.667,5.0,3.333,58.3,3.333
R00192,Operations,DE,EMEA,Men,18-29,Individual contributor,1-2 years,Onsite,4.0,3.0,4.333,4.333,4.333,4.0,75.0,5.0
R00194,Operations,DE,EMEA,Men,18-29,Individual contributor,6-10 years,Hybrid,3.667,2.333,3.667,4.0,3.333,3.4,60.0,3.0
R00196,Operations,DE,EMEA,Women,30-39,Individual contributor,6-10 years,Onsite,3.333,3.333,1.333,3.0,3.0,2.8,45.0,3.333
R00198,Operations,DE,EMEA,Women,40-49,Individual contributor,6-10 years,Hybrid,1.333,2.667,3.333,3.667,2.667,2.733,43.3,3.333
R00201,Operations,DE,EMEA,Women,30-39,Team lead,3-5 years,Onsite,3.333,2.0,2.0,2.0,4.667,2.8,45.0,2.667
R00202,Operations,DE,EMEA,Men,40-49,Individual contributor,6-10 years,Onsite,4.667,1.667,2.667,2.667,4.333,3.2,55.0,2.667
R00203,Operations,DE,EMEA,Men,40-49,Individual contributor,3-5 years,Onsite,2.0,4.0,3.0,3.667,3.0,3.133,53.3,3.0
R00204,Operations,DE,EMEA,Women,30-39,Team lead,10 years +,Onsite,4.667,4.333,2.333,3.667,4.333,3.867,71.7,3.667
R00205,Operations,PL,EMEA,Non-binary / self-described,30-39,Individual contributor,6-10 years,Remote,2.667,2.333,4.333,2.333,2.667,2.867,46.7,2.667
R00206,Operations,PL,EMEA,Women,40-49,Team lead,< 1 year,Onsite,4.667,3.0,3.0,2.333,4.333,3.467,61.7,3.333
R00207,Operations,PL,EMEA,Men,30-39,Individual contributor,3-5 years,Onsite,3.0,2.0,2.667,3.0,4.667,3.067,51.7,4.333
R00208,Operations,PL,EMEA,Men,30-39,Manager,3-5 years,Onsite,4.667,3.667,4.0,2.333,4.667,3.867,71.7,2.667
R00209,Operations,PL,EMEA,Men,40-49,Individual contributor,< 1 year,Onsite,4.667,3.0,4.333,2.667,4.667,3.867,71.7,4.333
R00210,Operations,PL,EMEA,Women,18-29,Individual contributor,3-5 years,Onsite,3.0,1.667,3.0,3.667,4.0,3.067,51.7,3.667
R00211,Operations,PL,EMEA,Women,30-39,Team lead,6-10 years,Onsite,4.0,3.0,2.667,3.0,3.667,3.267,56.7,4.333
R00212,Operations,PL,EMEA,Men,30-39,Individual contributor,6-10 years,Onsite,3.667,4.0,2.333,2.667,4.333,3.4,60.0,3.667
R00213,Operations,PL,EMEA,Women,30-39,Manager,< 1 year,Onsite,5.0,4.0,4.0,3.667,4.333,4.2,80.0,5.0
R00214,Operations,PL,EMEA,Women,50-59,Team lead,3-5 years,Onsite,3.667,4.667,4.0,2.333,2.667,3.467,61.7,3.333
R00215,Operations,PL,EMEA,Women,60+,Individual contributor,10 years +,Onsite,3.667,3.0,2.667,3.667,3.0,3.2,55.0,3.0
R00216,Operations,PL,EMEA,Women,60+,Team lead,3-5 years,Remote,5.0,4.0,4.667,3.0,5.0,4.333,83.3,4.333
R00217,Operations,PL,EMEA,Non-binary / self-described,50-59,Senior leader,< 1 year,Onsite,4.333,3.333,3.0,2.667,5.0,3.667,66.7,3.667
R00220,Operations,PL,EMEA,Men,40-49,Individual contributor,3-5 years,Onsite,3.333,3.333,2.333,3.667,4.333,3.4,60.0,4.0
R00221,Operations,PL,EMEA,Women,30-39,Individual contributor,6-10 years,Onsite,4.667,4.667,1.667,3.0,5.0,3.8,70.0,4.333
R00222,Operations,PL,EMEA,Women,50-59,Individual contributor,1-2 years,Onsite,3.0,4.333,4.667,3.0,4.333,3.867,71.7,3.333
R00224,Operations,PL,EMEA,Women,30-39,Individual contributor,3-5 years,Onsite,3.667,2.333,4.333,1.667,4.667,3.333,58.3,3.0
R00225,Operations,PL,EMEA,Women,18-29,Individual contributor,< 1 year,Onsite,4.333,2.0,3.0,3.333,5.0,3.533,63.3,4.333
R00226,Operations,PL,EMEA,Women,50-59,Individual contributor,< 1 year,Onsite,4.0,2.0,3.0,3.333,4.667,3.4,60.0,3.667
R00227,Operations,PL,EMEA,Women,18-29,Individual contributor,6-10 years,Onsite,3.667,3.333,2.667,3.0,4.0,3.333,58.3,3.667
R00228,Operations,PL,EMEA,Women,18-29,Team lead,6-10 years,Hybrid,2.333,2.333,3.333,3.333,5.0,3.267,56.7,3.0
R00231,Operations,PL,EMEA,Women,60+,Individual contributor,3-5 years,Hybrid,2.333,4.333,1.667,3.0,3.667,3.0,50.0,4.0
R00233,Operations,IN,APAC,Women,18-29,Team lead,6-10 years,Onsite,5.0,1.667,4.333,3.667,2.0,3.333,58.3,3.667
R00236,Operations,IN,APAC,Women,30-39,Senior leader,10 years +,Hybrid,4.667,4.0,4.667,4.333,4.0,4.333,83.3,5.0
R00237,Operations,IN,APAC,Men,30-39,Individual contributor,10 years +,Remote,3.667,4.667,2.333,3.667,4.0,3.667,66.7,5.0
R00239,Operations,IN,APAC,Women,40-49,Senior leader,1-2 years,Onsite,2.333,4.333,3.667,4.333,2.667,3.467,61.7,3.0
R00240,Operations,IN,APAC,Men,60+,Individual contributor,3-5 years,Onsite,2.667,3.0,4.333,2.667,2.333,3.0,50.0,2.667
R00241,Operations,IN,APAC,Women,50-59,Individual contributor,3-5 years,Onsite,2.667,3.667,2.667,3.333,4.0,3.267,56.7,2.667
R00243,Operations,IN,APAC,Women,40-49,Individual contributor,1-2 years,Hybrid,3.0,4.0,2.667,3.0,3.0,3.133,53.3,3.333
R00244,Operations,IN,APAC,Women,18-29,Senior leader,< 1 year,Hybrid,4.333,3.0,4.0,4.0,2.667,3.6,65.0,4.0
R00245,Operations,IN,APAC,Women,50-59,Individual contributor,1-2 years,Onsite,4.333,3.333,4.0,3.333,3.333,3.667,66.7,3.333
R00246,Operations,IN,APAC,Women,30-39,Individual contributor,< 1 year,Onsite,3.333,4.333,4.333,3.333,3.0,3.667,66.7,3.667
R00248,Operations,IN,APAC,Women,50-59,Individual contributor,1-2 years,Onsite,4.667,3.0,4.333,3.333,3.0,3.667,66.7,4.0
R00253,Operations,IN,APAC,Women,30-39,Manager,1-2 years,Onsite,4.0,3.0,4.333,4.0,2.667,3.6,65.0,4.333
R00254,Operations,IN,APAC,Men,60+,Individual contributor,1-2 years,Onsite,4.333,3.0,3.333,2.667,3.333,3.333,58.3,3.333
R00255,Operations,IN,APAC,Men,40-49,Manager,6-10 years,Remote,3.667,3.667,3.667,3.333,3.333,3.533,63.3,3.667
R00257,Operations,IN,APAC,Women,18-29,Individual contributor,6-10 years,Onsite,2.333,2.0,4.0,3.0,3.667,3.0,50.0,2.333
R00260,Operations,IN,APAC,Women,50-59,Individual contributor,< 1 year,Onsite,5.0,3.667,3.0,3.667,3.333,3.733,68.3,3.333
R00261,Operations,IN,APAC,Women,50-59,Individual contributor,1-2 years,Remote,4.333,3.667,3.333,3.0,2.667,3.4,60.0,4.0
R00262,Operations,IN,APAC,Men,18-29,Individual contributor,10 years +,Onsite,2.0,2.667,1.667,4.0,3.0,2.667,41.7,2.0
R00263,Operations,IN,APAC,Men,40-49,Individual contributor,< 1 year,Onsite,4.667,2.0,2.333,3.0,3.0,3.0,50.0,4.0
R00264,Operations,IN,APAC,Men,40-49,Individual contributor,1-2 years,Onsite,2.667,4.333,3.333,3.667,2.0,3.2,55.0,3.667
R00266,Operations,IN,APAC,Men,40-49,Individual contributor,6-10 years,Onsite,3.333,3.667,2.0,3.333,1.667,2.8,45.0,3.0
R00269,Operations,IN,APAC,Women,50-59,Individual contributor,< 1 year,Onsite,4.333,3.0,3.0,3.667,2.667,3.333,58.3,3.0
R00270,Operations,IN,APAC,Women,30-39,Individual contributor,10 years +,Hybrid,4.333,3.0,3.333,2.0,3.667,3.267,56.7,2.333
R00271,Operations,IN,APAC,Women,18-29,Individual contributor,10 years +,Onsite,3.0,2.667,2.667,2.333,4.0,2.933,48.3,2.667
R00272,Operations,IN,APAC,Women,40-49,Individual contributor,< 1 year,Onsite,3.333,4.0,2.0,2.667,3.667,3.133,53.3,3.667
R00273,Operations,IN,APAC,Women,60+,Team lead,< 1 year,Hybrid,2.667,4.0,3.333,4.667,2.667,3.467,61.7,3.667
R00275,Operations,IN,APAC,Women,18-29,Individual contributor,1-2 years,Hybrid,3.667,2.667,2.667,3.333,3.333,3.133,53.3,4.0
R00277,Operations,IN,APAC,Women,50-59,Team lead,3-5 years,Remote,2.333,5.0,3.333,2.667,3.0,3.267,56.7,2.0
R00281,Operations,IN,APAC,Women,18-29,Individual contributor,< 1 year,Hybrid,4.333,4.0,4.0,2.333,3.667,3.667,66.7,3.333
R00282,Operations,IN,APAC,Men,40-49,Individual contributor,6-10 years,Onsite,2.333,4.667,2.0,3.0,4.0,3.2,55.0,4.333
R00284,Operations,IN,APAC,Women,50-59,Individual contributor,6-10 years,Onsite,3.333,2.667,4.0,3.0,4.333,3.467,61.7,3.0
R00285,Operations,IN,APAC,Men,18-29,Team lead,1-2 years,Hybrid,4.0,4.333,2.667,3.667,3.333,3.6,65.0,4.333
R00286,Operations,IN,APAC,Women,30-39,Individual contributor,3-5 years,Hybrid,2.667,2.667,1.333,2.0,2.0,2.133,28.3,1.667
R00288,Operations,IN,APAC,Women,18-29,Individual contributor,3-5 years,Onsite,2.333,2.0,2.0,4.333,3.0,2.733,43.3,3.0
R00289,Operations,IN,APAC,Men,18-29,Team lead,3-5 years,Onsite,4.667,3.333,2.333,3.333,3.667,3.467,61.7,3.333
R00291,Operations,IN,APAC,Men,40-49,Individual contributor,6-10 years,Onsite,3.0,3.0,3.333,2.333,3.667,3.067,51.7,2.333
R00293,Operations,IN,APAC,Men,40-49,Team lead,3-5 years,Onsite,3.333,1.667,3.333,2.667,3.0,2.8,45.0,4.0
