team_id,team_name,department,country,manager_id,manager_tenure_months,team_size
T072,Customer PL 072,Customer Service,PL,M072,80,42
T073,Customer IN 073,Customer Service,IN,M073,5,18
T074,Customer IN 074,Customer Service,IN,M074,12,15
T075,Customer DE 075,Customer Service,DE,M075,14,36
T076,Customer DE 076,Customer Service,DE,M076,26,7
T077,Customer PL 077,Customer Service,PL,M077,53,16
T078,Customer PL 078,Customer Service,PL,M078,23,23
T079,Customer CA 079,Customer Service,CA,M079,38,32
T080,Customer PL 080,Customer Service,PL,M080,6,30
T081,Customer US 081,Customer Service,US,M081,4,11
T082,Customer CA 082,Customer Service,CA,M082,10,40
T083,Customer PL 083,Customer Service,PL,M083,11,19
T084,Customer CA 084,Customer Service,CA,M084,103,13
T085,Commercial DE 085,Commercial,DE,M085,21,19
T086,Commercial SG 086,Commercial,SG,M086,11,25
T087,Commercial DE 087,Commercial,DE,M087,12,12
T088,Commercial PL 088,Commercial,PL,M088,34,17
T089,Commercial CA 089,Commercial,CA,M089,127,34
T090,Commercial US 090,Commercial,US,M090,56,14
T091,Commercial US 091,Commercial,US,M091,6,44
T092,Commercial PL 092,Commercial,PL,M092,54,26
T093,Commercial CA 093,Commercial,CA,M093,9,28
T094,Commercial IN 094,Commercial,IN,M094,56,8
T095,Commercial US 095,Commercial,US,M095,22,27
T096,Commercial US 096,Commercial,US,M096,24,5
T097,Commercial IN 097,Commercial,IN,M097,4,31
T098,Commercial US 098,Commercial,US,M098,113,18
T099,Commercial DE 099,Commercial,DE,M099,45,25
T100,Commercial US 100,Commercial,US,M100,10,29
T101,Commercial DE 101,Commercial,DE,M101,3,35
T102,Commercial US 102,Commercial,US,M102,12,18
T103,Commercial PL 103,Commercial,PL,M103,69,26
T104,Commercial CA 104,Commercial,CA,M104,20,16
T105,Commercial CA 105,Commercial,CA,M105,9,39
T106,Commercial SG 106,Commercial,SG,M106,24,36
T107,Technology IN 107,Technology,IN,M107,67,49
T108,Technology SG 108,Technology,SG,M108,2,33
T109,Technology PL 109,Technology,PL,M109,6,5
T110,Technology DE 110,Technology,DE,M110,43,20
T111,Technology IN 111,Technology,IN,M111,71,40
T112,Technology DE 112,Technology,DE,M112,28,19
T113,Technology PL 113,Technology,PL,M113,5,21
T114,Technology DE 114,Technology,DE,M114,11,40
T115,Technology SG 115,Technology,SG,M115,66,26
T116,Technology US 116,Technology,US,M116,25,38
T117,Technology IN 117,Technology,IN,M117,43,34
T118,Technology DE 118,Technology,DE,M118,6,31
T119,Technology DE 119,Technology,DE,M119,114,24
T120,Technology US 120,Technology,US,M120,17,18
T121,Technology IN 121,Technology,IN,M121,22,15
T122,Technology CA 122,Technology,CA,M122,6,17
T123,Technology IN 123,Technology,IN,M123,10,16
T124,Technology PL 124,Technology,PL,M124,17,18
T125,Technology PL 125,Technology,PL,M125,3,22
T126,Technology CA 126,Technology,CA,M126,31,8
T127,Finance SG 127,Finance & Legal,SG,M127,17,42
T128,Finance CA 128,Finance & Legal,CA,M128,2,23
T129,Finance US 129,Finance & Legal,US,M129,28,9
T130,Finance DE 130,Finance & Legal,DE,M130,60,4
T131,Finance SG 131,Finance & Legal,SG,M131,24,51
T132,Finance CA 132,Finance & Legal,CA,M132,45,32
T133,Finance PL 133,Finance & Legal,PL,M133,9,24
T134,Finance US 134,Finance & Legal,US,M134,10,46
T135,Finance US 135,Finance & Legal,US,M135,24,30
T136,Finance DE 136,Finance & Legal,DE,M136,2,28
T137,Finance PL 137,Finance & Legal,PL,M137,66,19
T138,Finance SG 138,Finance & Legal,SG,M138,38,24
T139,Finance IN 139,Finance & Legal,IN,M139,18,10
T140,People US 140,People & Workplace,US,M140,3,18
T141,People PL 141,People & Workplace,PL,M141,49,20
T142,People PL 142,People & Workplace,PL,M142,13,35
T143,People SG 143,People & Workplace,SG,M143,12,39
T144,People PL 144,People & Workplace,PL,M144,18,49
T145,People CA 145,People & Workplace,CA,M145,9,31
T146,People IN 146,People & Workplace,IN,M146,16,52
T147,People CA 147,People & Workplace,CA,M147,82,44
T148,People SG 148,People & Workplace,SG,M148,2,20
T149,People DE 149,People & Workplace,DE,M149,7,34
