response_id,team_id,department,country,region,gender_group,age_band,job_level,tenure_band,work_model,shift_worker,responded,submitted_date,enps,bel_01,bel_02,bel_03,voi_01,voi_02,voi_03,psy_01,psy_02,psy_03,fair_01,fair_02,fair_03,ldr_01,ldr_02,ldr_03,inc_out_01,inc_out_02,inc_out_03
R00011,T001,Operations,IN,APAC,Men,40-49,Individual contributor,6-10 years,Onsite,0,1,2026-05-18,7,3,3,3,2,3,2,2,2,3,2,2,3,5,5,4,3,2,3
R00012,T001,Operations,IN,APAC,Women,30-39,Individual contributor,< 1 year,Onsite,1,1,2026-05-22,9,4,4,4,4,4,4,3,4,5,4,3,3,3,3,3,4,3,3
R00013,T001,Operations,IN,APAC,Women,30-39,Individual contributor,3-5 years,Onsite,0,1,2026-05-16,7,5,4,4,4,5,4,3,2,5,3,3,2,4,3,4,5,4,4
R00014,T001,Operations,IN,APAC,Men,30-39,Individual contributor,6-10 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00015,T001,Operations,IN,APAC,Women,40-49,Individual contributor,1-2 years,Hybrid,0,1,2026-05-16,8,3,4,3,3,2,3,4,4,4,3,3,3,4,5,4,5,4,4
R00016,T001,Operations,IN,APAC,Women,40-49,Individual contributor,< 1 year,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00017,T001,Operations,IN,APAC,Men,60+,Individual contributor,6-10 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00018,T001,Operations,IN,APAC,Women,40-49,Individual contributor,< 1 year,Onsite,1,1,2026-05-22,6,2,4,3,3,3,4,3,2,3,3,4,5,5,4,3,3,3,4
R00019,T001,Operations,IN,APAC,Men,18-29,Individual contributor,3-5 years,Onsite,1,1,2026-05-05,7,4,3,3,3,2,3,1,2,3,2,4,5,4,4,3,3,5,2
R00020,T001,Operations,IN,APAC,Women,40-49,Team lead,1-2 years,Hybrid,0,0,,,,,,,,,,,,,,,,,,,,
R00021,T002,Operations,IN,APAC,Men,40-49,Individual contributor,3-5 years,Onsite,1,1,2026-05-05,6,4,5,3,3,3,3,4,3,5,5,4,4,4,3,3,2,3,3
R00022,T002,Operations,IN,APAC,Women,50-59,Individual contributor,< 1 year,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00023,T002,Operations,IN,APAC,Men,30-39,Individual contributor,3-5 years,Onsite,1,1,2026-05-07,7,3,4,4,3,5,4,1,2,3,2,3,2,3,3,2,2,2,2
R00024,T002,Operations,IN,APAC,Men,18-29,Manager,< 1 year,Remote,0,1,2026-05-20,6,3,4,4,4,4,3,3,2,4,3,4,4,4,4,3,4,3,2
R00025,T002,Operations,IN,APAC,Men,18-29,Team lead,10 years +,Onsite,1,1,2026-05-22,7,4,4,5,5,3,4,4,4,4,4,3,4,2,3,3,3,3,4
R00026,T002,Operations,IN,APAC,Women,30-39,Individual contributor,1-2 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00027,T002,Operations,IN,APAC,Men,40-49,Team lead,< 1 year,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00028,T002,Operations,IN,APAC,Men,50-59,Individual contributor,< 1 year,Onsite,0,1,2026-05-16,3,2,3,2,3,2,3,3,3,3,2,2,2,4,4,3,2,3,2
R00029,T002,Operations,IN,APAC,Women,30-39,Individual contributor,6-10 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00030,T002,Operations,IN,APAC,Men,18-29,Individual contributor,3-5 years,Onsite,1,1,2026-05-11,4,3,3,3,2,2,3,4,4,4,1,2,2,3,4,4,2,3,1
R00031,T002,Operations,IN,APAC,Men,40-49,Individual contributor,6-10 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00032,T002,Operations,IN,APAC,Men,40-49,Individual contributor,3-5 years,Onsite,1,1,2026-05-18,5,5,3,3,5,5,3,2,2,2,4,3,4,4,4,4,4,4,4
R00033,T002,Operations,IN,APAC,Women,40-49,Individual contributor,< 1 year,Remote,0,1,2026-05-04,8,4,3,3,3,3,3,3,4,4,4,5,5,5,5,3,5,3,4
R00034,T002,Operations,IN,APAC,Men,30-39,Individual contributor,3-5 years,Hybrid,0,0,,,,,,,,,,,,,,,,,,,,
R00035,T002,Operations,IN,APAC,Men,18-29,Individual contributor,6-10 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00036,T002,Operations,IN,APAC,Men,60+,Individual contributor,1-2 years,Hybrid,0,1,2026-05-22,8,4,3,3,4,4,3,4,3,5,2,3,3,4,5,3,3,3,3
R00037,T002,Operations,IN,APAC,Women,50-59,Team lead,3-5 years,Hybrid,0,0,,,,,,,,,,,,,,,,,,,,
R00038,T002,Operations,IN,APAC,Men,40-49,Manager,1-2 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00039,T002,Operations,IN,APAC,Men,50-59,Individual contributor,3-5 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00040,T002,Operations,IN,APAC,Women,18-29,Individual contributor,3-5 years,Onsite,1,1,2026-05-04,6,3,4,2,1,2,2,3,1,3,4,2,4,4,5,4,3,3,3
R00041,T002,Operations,IN,APAC,Men,50-59,Team lead,3-5 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00042,T003,Operations,IN,APAC,Women,18-29,Individual contributor,1-2 years,Remote,0,0,,,,,,,,,,,,,,,,,,,,
R00043,T003,Operations,IN,APAC,Men,40-49,Individual contributor,6-10 years,Onsite,1,1,2026-05-07,7,3,4,3,2,2,2,2,2,3,2,4,4,2,4,3,1,2,2
R00044,T003,Operations,IN,APAC,Women,30-39,Team lead,3-5 years,Hybrid,0,1,2026-05-21,7,4,5,5,4,4,4,2,3,4,3,5,5,5,5,4,3,3,3
R00045,T003,Operations,IN,APAC,Women,60+,Individual contributor,1-2 years,Remote,0,0,,,,,,,,,,,,,,,,,,,,
R00046,T003,Operations,IN,APAC,Women,18-29,Individual contributor,6-10 years,Onsite,0,1,2026-05-05,9,3,2,3,3,4,4,1,1,2,5,3,3,3,3,4,4,2,4
R00047,T003,Operations,IN,APAC,Men,30-39,Individual contributor,6-10 years,Onsite,0,1,2026-05-09,7,3,4,4,1,2,2,3,3,2,4,3,4,3,4,3,5,2,2
R00048,T003,Operations,IN,APAC,Women,60+,Individual contributor,3-5 years,Onsite,1,1,2026-05-04,6,3,3,2,3,5,4,3,2,4,4,2,3,4,4,4,5,4,3
R00049,T003,Operations,IN,APAC,Men,30-39,Individual contributor,6-10 years,Onsite,0,1,2026-05-11,6,3,4,3,4,2,3,2,1,3,5,4,4,3,2,3,4,3,2
R00050,T003,Operations,IN,APAC,Men,50-59,Individual contributor,10 years +,Onsite,0,1,2026-05-15,9,5,4,5,3,1,3,4,4,4,3,2,3,3,3,2,5,5,5
R00051,T003,Operations,IN,APAC,Women,18-29,Individual contributor,1-2 years,Onsite,0,1,2026-05-15,5,3,4,4,3,3,2,2,2,3,2,4,3,4,2,2,4,3,3
R00052,T003,Operations,IN,APAC,Women,18-29,Individual contributor,6-10 years,Onsite,1,1,2026-05-08,8,3,2,4,2,2,3,3,2,2,5,5,4,4,4,4,3,2,2
R00053,T004,Operations,US,North America,Men,40-49,Individual contributor,6-10 years,Onsite,1,1,2026-05-19,6,4,4,3,2,2,2,4,3,4,4,4,3,5,5,4,4,4,3
R00054,T004,Operations,US,North America,Men,50-59,Individual contributor,3-5 years,Hybrid,0,1,2026-05-08,6,5,5,5,3,3,4,2,2,4,2,2,4,3,3,3,5,4,3
R00055,T004,Operations,US,North America,Women,50-59,Team lead,3-5 years,Onsite,0,1,2026-05-05,10,5,5,5,4,5,5,4,4,4,3,2,3,5,5,5,4,4,4
R00056,T004,Operations,US,North America,Men,40-49,Individual contributor,1-2 years,Hybrid,0,1,2026-05-14,10,4,3,4,4,5,4,4,5,4,5,4,5,5,5,4,5,4,4
R00057,T004,Operations,US,North America,Men,30-39,Manager,3-5 years,Onsite,0,0,,,,,,,,,,,,,,,,,,,,
R00058,T004,Operations,US,North America,Women,30-39,Individual contributor,10 years +,Onsite,1,1,2026-05-05,7,5,5,5,2,3,2,5,5,5,3,3,2,5,5,5,4,4,3
R00059,T004,Operations,US,North America,Women,30-39,Individual contributor,6-10 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00060,T004,Operations,US,North America,Men,30-39,Individual contributor,10 years +,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00061,T004,Operations,US,North America,Women,30-39,Individual contributor,6-10 years,Onsite,1,1,2026-05-05,8,4,4,4,2,2,2,2,3,4,3,2,3,4,4,3,5,4,2
R00062,T004,Operations,US,North America,Men,40-49,Individual contributor,< 1 year,Onsite,1,1,2026-05-05,8,5,5,3,3,3,3,3,3,4,4,4,4,5,5,5,3,3,3
R00063,T004,Operations,US,North America,Women,50-59,Individual contributor,1-2 years,Onsite,1,1,2026-05-22,8,5,5,4,2,3,1,4,4,5,3,4,3,5,5,5,4,5,5
R00064,T004,Operations,US,North America,Men,18-29,Manager,< 1 year,Onsite,0,1,2026-05-08,10,5,5,5,4,4,4,4,5,5,4,5,5,5,5,5,5,5,4
R00065,T004,Operations,US,North America,Women,40-49,Individual contributor,6-10 years,Onsite,1,1,2026-05-07,7,4,5,4,2,2,2,4,4,4,4,5,4,5,5,5,4,4,4
R00066,T004,Operations,US,North America,Men,40-49,Individual contributor,< 1 year,Onsite,0,1,2026-05-07,10,5,5,5,4,2,4,4,4,3,3,4,4,5,5,5,4,5,5
R00067,T004,Operations,US,North America,Men,40-49,Individual contributor,3-5 years,Remote,0,1,2026-05-05,6,2,4,3,4,3,4,4,4,5,3,4,3,4,5,3,4,3,4
R00068,T004,Operations,US,North America,Women,30-39,Manager,< 1 year,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00069,T004,Operations,US,North America,Men,50-59,Manager,10 years +,Onsite,1,1,2026-05-08,6,4,4,4,4,4,3,4,3,3,2,2,2,4,4,4,4,4,2
R00070,T005,Operations,IN,APAC,Women,40-49,Team lead,1-2 years,Onsite,1,1,2026-05-10,7,4,4,4,2,3,2,4,4,3,3,3,3,4,5,2,3,4,4
R00071,T005,Operations,IN,APAC,Men,18-29,Individual contributor,< 1 year,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00072,T005,Operations,IN,APAC,Women,40-49,Individual contributor,6-10 years,Onsite,0,1,2026-05-04,8,3,2,2,5,5,3,3,4,4,3,2,3,2,3,3,4,4,2
R00073,T005,Operations,IN,APAC,Men,40-49,Individual contributor,< 1 year,Onsite,0,0,,,,,,,,,,,,,,,,,,,,
R00074,T005,Operations,IN,APAC,Men,40-49,Individual contributor,< 1 year,Onsite,1,1,2026-05-06,7,5,4,5,4,4,5,2,2,3,4,4,4,5,4,4,4,4,4
R00075,T005,Operations,IN,APAC,Men,30-39,Individual contributor,1-2 years,Remote,0,1,2026-05-08,7,4,4,5,5,3,4,3,3,3,2,3,3,3,2,2,4,4,4
R00076,T005,Operations,IN,APAC,Women,30-39,Individual contributor,1-2 years,Onsite,1,1,2026-05-07,7,4,5,2,2,2,4,2,2,3,4,4,4,4,3,4,4,2,3
R00077,T005,Operations,IN,APAC,Women,40-49,Individual contributor,< 1 year,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00078,T005,Operations,IN,APAC,Men,50-59,Individual contributor,< 1 year,Onsite,1,1,2026-05-18,8,5,5,4,3,3,4,4,5,5,4,5,4,3,4,3,5,4,4
R00079,T005,Operations,IN,APAC,Women,18-29,Individual contributor,6-10 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00080,T005,Operations,IN,APAC,Women,40-49,Individual contributor,3-5 years,Onsite,1,1,2026-05-14,6,4,4,4,2,1,1,1,4,3,5,4,4,5,5,4,3,4,4
R00081,T005,Operations,IN,APAC,Men,18-29,Individual contributor,6-10 years,Onsite,0,1,2026-05-07,7,5,4,4,3,3,3,4,5,5,1,1,4,3,4,3,3,4,2
R00082,T005,Operations,IN,APAC,Men,30-39,Individual contributor,6-10 years,Onsite,1,1,2026-05-08,8,3,5,5,5,4,4,2,3,4,4,2,4,4,4,5,1,3,2
R00083,T005,Operations,IN,APAC,Women,40-49,Individual contributor,10 years +,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00084,T005,Operations,IN,APAC,Men,40-49,Individual contributor,1-2 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00085,T005,Operations,IN,APAC,Women,30-39,Individual contributor,3-5 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00086,T005,Operations,IN,APAC,Non-binary / self-described,50-59,Individual contributor,1-2 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00087,T005,Operations,IN,APAC,Men,40-49,Individual contributor,< 1 year,Onsite,1,1,2026-05-22,5,4,4,4,2,3,3,1,1,1,4,5,4,4,4,4,4,2,2
R00088,T005,Operations,IN,APAC,Men,40-49,Individual contributor,1-2 years,Onsite,0,1,2026-05-16,5,5,5,5,3,2,3,3,3,4,2,2,4,2,4,1,3,2,2
R00089,T005,Operations,IN,APAC,Men,30-39,Manager,3-5 years,Onsite,1,1,2026-05-09,6,4,5,3,4,4,4,3,2,4,2,2,3,4,4,3,4,4,4
R00090,T005,Operations,IN,APAC,Women,30-39,Individual contributor,3-5 years,Onsite,1,1,2026-05-17,5,3,4,3,5,4,4,4,3,3,4,2,3,4,4,3,4,3,4
R00091,T005,Operations,IN,APAC,Men,50-59,Individual contributor,1-2 years,Onsite,0,1,2026-05-14,6,3,2,3,3,3,2,2,1,3,2,3,4,3,3,3,4,3,3
R00092,T005,Operations,IN,APAC,Men,40-49,Individual contributor,3-5 years,Onsite,1,1,2026-05-16,7,5,4,5,4,3,4,5,3,4,3,3,4,5,4,4,4,3,3
R00093,T005,Operations,IN,APAC,Women,30-39,Individual contributor,1-2 years,Hybrid,0,1,2026-05-13,4,3,3,2,4,3,4,2,3,3,2,3,3,4,4,5,3,4,3
R00094,T005,Operations,IN,APAC,Women,50-59,Individual contributor,10 years +,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00095,T005,Operations,IN,APAC,Men,40-49,Individual contributor,6-10 years,Onsite,1,1,2026-05-19,7,5,4,3,4,5,4,4,4,4,4,4,4,4,5,3,5,5,5
R00096,T005,Operations,IN,APAC,Non-binary / self-described,30-39,Individual contributor,6-10 years,Onsite,1,1,2026-05-16,5,5,5,5,3,4,4,2,2,3,2,3,1,4,4,4,3,2,2
R00097,T005,Operations,IN,APAC,Men,50-59,Individual contributor,1-2 years,Onsite,0,1,2026-05-08,7,4,5,5,3,4,3,5,4,5,3,3,2,5,5,4,4,4,3
R00098,T005,Operations,IN,APAC,Women,18-29,Individual contributor,3-5 years,Onsite,0,1,2026-05-14,7,3,4,4,4,4,3,2,2,3,3,3,3,5,3,4,5,3,2
R00099,T005,Operations,IN,APAC,Women,40-49,Individual contributor,3-5 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00100,T005,Operations,IN,APAC,Men,40-49,Individual contributor,3-5 years,Onsite,1,1,2026-05-20,5,1,2,3,2,1,2,4,4,4,2,4,4,4,4,3,3,4,1
R00101,T005,Operations,IN,APAC,Men,40-49,Individual contributor,6-10 years,Onsite,1,1,2026-05-22,5,2,2,2,3,3,3,1,2,1,3,2,2,4,4,2,2,4,1
R00102,T005,Operations,IN,APAC,Men,30-39,Individual contributor,10 years +,Onsite,1,1,2026-05-19,4,3,2,4,3,3,3,1,1,1,4,4,2,4,4,4,2,2,1
R00103,T005,Operations,IN,APAC,Women,50-59,Individual contributor,1-2 years,Onsite,1,1,2026-05-16,5,2,4,3,4,4,4,3,4,5,2,2,2,4,4,3,3,3,3
R00104,T005,Operations,IN,APAC,Women,60+,Individual contributor,< 1 year,Onsite,0,1,2026-05-22,6,5,3,4,4,2,5,3,5,4,3,3,4,5,4,3,5,5,4
R00105,T005,Operations,IN,APAC,Men,40-49,Individual contributor,6-10 years,Onsite,1,1,2026-05-04,8,3,2,3,2,2,3,3,3,4,5,4,5,3,2,4,4,3,3
R00106,T005,Operations,IN,APAC,Men,30-39,Individual contributor,6-10 years,Onsite,1,1,2026-05-09,6,5,4,4,3,3,2,3,4,4,3,2,3,4,4,4,5,2,4
R00107,T005,Operations,IN,APAC,Men,30-39,Individual contributor,< 1 year,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00108,T005,Operations,IN,APAC,Women,50-59,Individual contributor,6-10 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00109,T005,Operations,IN,APAC,Women,30-39,Individual contributor,6-10 years,Onsite,0,1,2026-05-10,8,3,4,2,3,4,1,2,1,1,3,3,4,3,2,3,3,3,3
R00110,T005,Operations,IN,APAC,Men,50-59,Individual contributor,6-10 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00111,T005,Operations,IN,APAC,Men,40-49,Team lead,< 1 year,Onsite,1,1,2026-05-16,9,5,5,4,5,5,4,4,4,4,3,3,4,4,5,4,5,5,4
R00112,T005,Operations,IN,APAC,Men,18-29,Individual contributor,1-2 years,Onsite,0,1,2026-05-04,9,5,4,4,3,3,3,2,2,4,5,4,5,4,5,4,4,4,3
R00113,T005,Operations,IN,APAC,Women,18-29,Individual contributor,3-5 years,Onsite,1,1,2026-05-06,9,3,4,5,4,5,3,2,1,3,3,4,3,4,3,4,5,4,5
R00114,T005,Operations,IN,APAC,Women,50-59,Individual contributor,< 1 year,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00115,T005,Operations,IN,APAC,Women,18-29,Individual contributor,6-10 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00116,T005,Operations,IN,APAC,Women,50-59,Individual contributor,6-10 years,Onsite,1,1,2026-05-04,7,1,2,1,4,3,2,3,3,4,3,3,4,4,5,4,4,4,2
R00117,T005,Operations,IN,APAC,Women,18-29,Individual contributor,6-10 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00118,T005,Operations,IN,APAC,Men,40-49,Individual contributor,< 1 year,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00119,T005,Operations,IN,APAC,Non-binary / self-described,50-59,Individual contributor,< 1 year,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00120,T005,Operations,IN,APAC,Women,40-49,Individual contributor,< 1 year,Onsite,0,0,,,,,,,,,,,,,,,,,,,,
R00121,T005,Operations,IN,APAC,Women,50-59,Team lead,10 years +,Onsite,0,1,2026-05-07,7,3,3,3,3,4,2,2,2,2,2,2,3,5,4,4,4,3,2
R00122,T006,Operations,DE,EMEA,Men,18-29,Individual contributor,1-2 years,Onsite,0,1,2026-05-12,7,3,3,4,2,2,3,2,4,3,3,3,3,3,3,4,4,5,2
R00123,T006,Operations,DE,EMEA,Women,30-39,Individual contributor,1-2 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00124,T006,Operations,DE,EMEA,Women,18-29,Individual contributor,1-2 years,Onsite,0,1,2026-05-04,6,5,4,4,2,1,2,4,4,3,1,2,2,5,4,5,3,3,3
R00125,T006,Operations,DE,EMEA,Non-binary / self-described,18-29,Individual contributor,6-10 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00126,T006,Operations,DE,EMEA,Non-binary / self-described,40-49,Individual contributor,1-2 years,Onsite,1,1,2026-05-05,6,4,4,4,3,2,2,4,2,3,3,4,3,4,4,4,4,3,3
R00127,T006,Operations,DE,EMEA,Men,50-59,Team lead,1-2 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00128,T006,Operations,DE,EMEA,Women,60+,Individual contributor,< 1 year,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00129,T006,Operations,DE,EMEA,Women,50-59,Individual contributor,6-10 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00130,T006,Operations,DE,EMEA,Women,30-39,Individual contributor,1-2 years,Onsite,1,1,2026-05-11,4,3,3,2,3,4,4,4,4,4,4,4,4,3,5,4,3,3,4
R00131,T006,Operations,DE,EMEA,Women,60+,Manager,6-10 years,Onsite,1,1,2026-05-17,7,5,4,3,4,4,4,4,5,5,3,3,5,4,4,4,3,4,3
R00132,T006,Operations,DE,EMEA,Men,18-29,Individual contributor,3-5 years,Remote,0,1,2026-05-21,8,4,4,4,2,2,2,2,1,3,4,4,4,4,4,3,4,4,3
R00133,T006,Operations,DE,EMEA,Women,60+,Individual contributor,6-10 years,Onsite,1,1,2026-05-05,7,3,4,3,3,3,3,3,3,3,2,3,3,4,5,4,2,2,3
R00134,T006,Operations,DE,EMEA,Women,30-39,Individual contributor,3-5 years,Hybrid,0,0,,,,,,,,,,,,,,,,,,,,
R00135,T007,Operations,DE,EMEA,Women,30-39,Individual contributor,< 1 year,Remote,0,1,2026-05-06,5,3,3,3,3,5,4,5,5,4,2,2,2,4,4,2,3,4,3
R00136,T007,Operations,DE,EMEA,Women,30-39,Individual contributor,6-10 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00137,T007,Operations,DE,EMEA,Non-binary / self-described,50-59,Individual contributor,1-2 years,Onsite,1,1,2026-05-04,7,5,5,5,2,3,1,3,3,4,3,2,4,4,4,3,4,4,4
R00138,T007,Operations,DE,EMEA,Men,40-49,Team lead,3-5 years,Onsite,0,1,2026-05-05,5,5,4,4,4,4,4,4,4,5,3,2,4,5,5,5,4,3,3
R00139,T007,Operations,DE,EMEA,Women,30-39,Individual contributor,1-2 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00140,T007,Operations,DE,EMEA,Women,50-59,Individual contributor,3-5 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00141,T007,Operations,DE,EMEA,Women,40-49,Individual contributor,3-5 years,Hybrid,0,1,2026-05-04,7,5,5,4,3,4,2,3,4,4,3,3,2,2,2,2,4,4,3
R00142,T007,Operations,DE,EMEA,Men,50-59,Individual contributor,1-2 years,Onsite,0,1,2026-05-04,7,4,4,5,2,3,3,3,3,2,4,4,4,5,5,5,4,3,4
R00143,T007,Operations,DE,EMEA,Men,40-49,Individual contributor,3-5 years,Onsite,1,1,2026-05-04,5,3,5,3,5,5,4,2,3,3,3,2,4,4,5,4,3,3,2
R00144,T007,Operations,DE,EMEA,Women,40-49,Individual contributor,< 1 year,Onsite,1,1,2026-05-06,6,4,3,4,2,4,2,3,4,3,3,4,4,4,4,4,5,5,5
R00145,T007,Operations,DE,EMEA,Women,18-29,Individual contributor,6-10 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00146,T007,Operations,DE,EMEA,Non-binary / self-described,30-39,Individual contributor,10 years +,Hybrid,0,1,2026-05-22,6,4,3,4,4,3,3,5,4,2,2,1,3,4,4,3,4,3,2
R00147,T007,Operations,DE,EMEA,Men,50-59,Team lead,1-2 years,Onsite,0,1,2026-05-08,7,4,3,4,2,2,3,4,4,5,4,3,4,5,5,5,4,2,4
R00148,T007,Operations,DE,EMEA,Women,50-59,Individual contributor,10 years +,Onsite,1,1,2026-05-11,6,3,4,2,4,5,3,4,2,2,4,4,4,4,4,3,5,4,4
R00149,T007,Operations,DE,EMEA,Men,50-59,Individual contributor,1-2 years,Onsite,0,1,2026-05-07,8,5,4,4,3,3,3,5,1,2,4,5,5,3,4,4,3,4,3
R00150,T007,Operations,DE,EMEA,Non-binary / self-described,30-39,Team lead,10 years +,Hybrid,0,1,2026-05-11,5,4,3,4,4,4,4,5,4,4,4,4,4,4,4,2,3,3,3
R00151,T007,Operations,DE,EMEA,Men,50-59,Individual contributor,1-2 years,Onsite,0,1,2026-05-16,8,4,4,3,3,4,4,4,5,5,4,4,4,4,4,3,4,3,3
R00152,T007,Operations,DE,EMEA,Women,40-49,Manager,3-5 years,Onsite,1,1,2026-05-16,7,4,4,4,5,4,5,4,4,4,3,3,4,4,4,4,3,3,4
R00153,T007,Operations,DE,EMEA,Men,40-49,Individual contributor,6-10 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00154,T007,Operations,DE,EMEA,Women,30-39,Individual contributor,1-2 years,Onsite,0,1,2026-05-15,8,3,3,3,5,3,5,4,4,4,4,3,4,4,3,4,4,4,4
R00155,T007,Operations,DE,EMEA,Men,60+,Team lead,6-10 years,Onsite,0,1,2026-05-04,10,3,5,3,3,4,5,4,4,4,3,2,4,4,4,4,3,2,2
R00156,T007,Operations,DE,EMEA,Women,30-39,Individual contributor,1-2 years,Remote,0,1,2026-05-14,10,4,4,2,3,2,3,4,3,3,4,5,4,4,3,3,5,3,4
R00157,T007,Operations,DE,EMEA,Women,50-59,Team lead,3-5 years,Onsite,1,1,2026-05-07,8,3,3,4,3,2,2,1,4,3,1,3,2,5,5,5,4,4,4
R00158,T007,Operations,DE,EMEA,Women,40-49,Manager,6-10 years,Onsite,0,1,2026-05-05,7,4,3,3,3,3,2,4,4,4,3,3,3,3,5,5,3,2,3
R00159,T007,Operations,DE,EMEA,Women,60+,Individual contributor,6-10 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00160,T007,Operations,DE,EMEA,Women,30-39,Individual contributor,3-5 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00161,T007,Operations,DE,EMEA,Men,18-29,Team lead,1-2 years,Onsite,0,1,2026-05-19,10,5,4,5,4,5,3,2,4,3,2,2,3,4,5,3,4,3,4
R00162,T007,Operations,DE,EMEA,Men,18-29,Team lead,10 years +,Onsite,1,1,2026-05-15,5,4,3,4,5,3,5,4,4,3,3,3,5,3,4,3,4,3,4
R00163,T007,Operations,DE,EMEA,Men,40-49,Individual contributor,1-2 years,Onsite,0,0,,,,,,,,,,,,,,,,,,,,
R00164,T007,Operations,DE,EMEA,Men,18-29,Individual contributor,< 1 year,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
