comment_id,true_themes,true_tone
C00151,Flexibility & workplace; Joining & onboarding,positive
C00152,Flexibility & workplace,positive
C00153,Tools & process,negative
C00154,Leadership & communication,positive
C00155,Workload & staffing,positive
C00156,Leadership & communication,negative
C00157,Manager relationship,positive
C00158,Workload & staffing,negative
C00159,Joining & onboarding; Workload & staffing,positive
C00160,Joining & onboarding,negative
C00161,Inclusion & voice,negative
C00162,Joining & onboarding,positive
C00163,Career & progression,negative
C00164,Joining & onboarding,negative
C00165,Joining & onboarding; Inclusion & voice,positive
C00166,Flexibility & workplace,negative
C00167,Tools & process,positive
C00168,Inclusion & voice,negative
C00169,Workload & staffing,positive
C00170,Inclusion & voice; Flexibility & workplace,positive
C00171,Career & progression,negative
C00172,Joining & onboarding,positive
C00173,Career & progression; Joining & onboarding,positive
C00174,Inclusion & voice,negative
C00175,Joining & onboarding; Pay & benefits,positive
C00176,Flexibility & workplace,negative
C00177,Recognition,positive
C00178,Career & progression,negative
C00179,Workload & staffing; Leadership & communication,negative
C00180,Flexibility & workplace; Manager relationship,positive
C00181,Career & progression,positive
C00182,Pay & benefits,negative
C00183,Flexibility & workplace,positive
C00184,Recognition,negative
C00185,Recognition,positive
C00186,Career & progression,positive
C00187,Career & progression; Joining & onboarding,negative
C00188,Inclusion & voice,negative
C00189,Workload & staffing; Career & progression,negative
C00190,Tools & process,negative
C00191,Leadership & communication,negative
C00192,Career & progression; Workload & staffing,positive
C00193,Pay & benefits,negative
C00194,Career & progression,positive
C00195,Recognition,positive
C00196,Flexibility & workplace; Inclusion & voice,positive
C00197,Manager relationship,positive
C00198,Recognition,negative
C00199,Joining & onboarding; Workload & staffing,negative
C00200,Joining & onboarding,positive
C00201,Tools & process,positive
C00202,Manager relationship,negative
C00203,Workload & staffing,negative
C00204,Flexibility & workplace,positive
C00205,Leadership & communication,negative
C00206,Inclusion & voice,positive
C00207,Pay & benefits; Manager relationship,negative
C00208,Inclusion & voice,positive
C00209,Inclusion & voice,negative
C00210,Inclusion & voice,positive
C00211,Pay & benefits; Joining & onboarding,negative
C00212,Joining & onboarding,positive
C00213,Workload & staffing; Joining & onboarding,negative
C00214,Career & progression; Leadership & communication,negative
C00215,Flexibility & workplace,positive
C00216,Joining & onboarding,negative
C00217,Joining & onboarding; Leadership & communication,positive
C00218,Workload & staffing,negative
C00219,Workload & staffing,negative
C00220,Leadership & communication,negative
C00221,Tools & process; Recognition,negative
C00222,Tools & process,positive
C00223,Manager relationship; Recognition,negative
C00224,Workload & staffing,positive
C00225,Joining & onboarding,positive
C00226,Workload & staffing,negative
C00227,Flexibility & workplace,negative
C00228,Workload & staffing; Manager relationship,negative
C00229,Recognition,positive
C00230,Recognition,negative
C00231,Joining & onboarding,positive
C00232,Workload & staffing,negative
C00233,Leadership & communication,positive
C00234,Joining & onboarding,negative
C00235,Career & progression,positive
C00236,Tools & process; Pay & benefits,positive
C00237,Tools & process,negative
C00238,Workload & staffing; Pay & benefits,positive
C00239,Inclusion & voice,negative
C00240,Leadership & communication,positive
C00241,Career & progression,negative
C00242,Manager relationship,positive
C00243,Career & progression,negative
C00244,Career & progression,positive
C00245,Manager relationship,positive
C00246,Inclusion & voice,positive
C00247,Leadership & communication,negative
C00248,Tools & process,negative
C00249,Manager relationship,positive
C00250,Workload & staffing,negative
C00251,Recognition,positive
C00252,Recognition,negative
C00253,Leadership & communication,negative
C00254,Career & progression; Pay & benefits,negative
C00255,Flexibility & workplace,positive
C00256,Tools & process; Leadership & communication,positive
C00257,Career & progression; Manager relationship,negative
C00258,Career & progression,positive
C00259,Manager relationship,positive
C00260,Recognition,negative
C00261,Recognition,positive
C00262,Tools & process,positive
C00263,Recognition,positive
C00264,Inclusion & voice,negative
C00265,Workload & staffing,negative
C00266,Leadership & communication,positive
C00267,Workload & staffing,negative
C00268,Recognition,positive
C00269,Inclusion & voice; Tools & process,negative
C00270,Inclusion & voice,positive
C00271,Manager relationship; Recognition,negative
C00272,Leadership & communication; Pay & benefits,positive
C00273,Workload & staffing,negative
C00274,Leadership & communication,positive
C00275,Flexibility & workplace,positive
C00276,Leadership & communication,negative
C00277,Joining & onboarding; Recognition,positive
C00278,Leadership & communication; Joining & onboarding,negative
C00279,Pay & benefits; Workload & staffing,negative
C00280,Recognition; Flexibility & workplace,positive
C00281,Manager relationship,negative
C00282,Joining & onboarding,positive
C00283,Recognition,positive
C00284,Inclusion & voice,positive
C00285,Joining & onboarding,negative
C00286,Career & progression,positive
C00287,Workload & staffing; Tools & process,negative
C00288,Recognition,positive
C00289,Flexibility & workplace,negative
C00290,Flexibility & workplace,positive
C00291,Career & progression,negative
C00292,Inclusion & voice,positive
C00293,Recognition; Manager relationship,negative
C00294,Workload & staffing,positive
C00295,Recognition,positive
C00296,Manager relationship,positive
C00297,Tools & process,negative
C00298,Recognition,positive
C00299,Pay & benefits,negative
C00300,Flexibility & workplace,positive
C00301,Tools & process,negative
C00302,Joining & onboarding,negative
C00303,Joining & onboarding; Inclusion & voice,negative
C00304,Career & progression,negative
C00305,Inclusion & voice,negative
C00306,Joining & onboarding,positive
C00307,Recognition,positive
C00308,Tools & process,negative
C00309,Pay & benefits,negative
C00310,Pay & benefits,positive
C00311,Manager relationship,negative
C00312,Flexibility & workplace,positive
C00313,Joining & onboarding,negative
C00314,Pay & benefits,positive
C00315,Workload & staffing; Manager relationship,negative
C00316,Pay & benefits,positive
C00317,Joining & onboarding,negative
C00318,Career & progression,positive
C00319,Recognition,negative
C00320,Joining & onboarding,positive
C00321,Career & progression,negative
C00322,Joining & onboarding,negative
C00323,Tools & process,positive
C00324,Manager relationship,negative
C00325,Pay & benefits,positive
C00326,Workload & staffing; Manager relationship,negative
C00327,Flexibility & workplace,positive
C00328,Inclusion & voice,negative
C00329,Workload & staffing,negative
C00330,Joining & onboarding; Pay & benefits,positive
C00331,Pay & benefits,negative
C00332,Tools & process,negative
C00333,Career & progression,positive
C00334,Manager relationship,negative
C00335,Recognition,negative
C00336,Manager relationship; Tools & process,positive
C00337,Manager relationship,negative
C00338,Recognition,positive
C00339,Leadership & communication,negative
C00340,Workload & staffing,positive
C00341,Recognition,negative
C00342,Pay & benefits,negative
C00343,Recognition,negative
C00344,Recognition,positive
C00345,Career & progression,negative
C00346,Joining & onboarding,positive
C00347,Pay & benefits,negative
C00348,Flexibility & workplace; Pay & benefits,positive
C00349,Workload & staffing,negative
C00350,Recognition,positive
C00351,Recognition,negative
C00352,Workload & staffing,negative
C00353,Workload & staffing,positive
C00354,Pay & benefits,negative
C00355,Career & progression,positive
C00356,Career & progression,negative
C00357,Inclusion & voice,positive
C00358,Career & progression,negative
C00359,Tools & process,positive
C00360,Career & progression,negative
C00361,Pay & benefits,negative
C00362,Manager relationship,negative
C00363,Workload & staffing,negative
C00364,Tools & process,positive
C00365,Flexibility & workplace; Recognition,positive
C00366,Leadership & communication,negative
C00367,Inclusion & voice,negative
C00368,Inclusion & voice,negative
C00369,Career & progression,negative
C00370,Pay & benefits,negative
C00371,Career & progression,positive
C00372,Career & progression,negative
C00373,Tools & process; Workload & staffing,negative
C00374,Tools & process,negative
C00375,Inclusion & voice; Pay & benefits,negative
C00376,Workload & staffing,positive
C00377,Leadership & communication,positive
C00378,Pay & benefits,positive
C00379,Recognition,negative
C00380,Pay & benefits,positive
C00381,Recognition,positive
C00382,Pay & benefits,negative
C00383,Recognition,negative
C00384,Leadership & communication,negative
C00385,Flexibility & workplace,negative
C00386,Manager relationship; Flexibility & workplace,positive
C00387,Joining & onboarding; Leadership & communication,negative
C00388,Workload & staffing; Inclusion & voice,positive
C00389,Manager relationship,negative
C00390,Inclusion & voice,positive
C00391,Joining & onboarding,negative
C00392,Tools & process; Recognition,negative
C00393,Recognition,positive
C00394,Leadership & communication; Recognition,negative
C00395,Pay & benefits; Manager relationship,positive
C00396,Inclusion & voice; Leadership & communication,negative
C00397,Flexibility & workplace,positive
C00398,Tools & process,negative
C00399,Manager relationship,positive
C00400,Career & progression,negative
C00401,Manager relationship,positive
C00402,Workload & staffing; Tools & process,negative
C00403,Workload & staffing; Flexibility & workplace,positive
C00404,Flexibility & workplace; Leadership & communication,negative
C00405,Leadership & communication,negative
C00406,Manager relationship,positive
C00407,Flexibility & workplace,negative
C00408,Tools & process,positive
C00409,Leadership & communication,negative
C00410,Recognition,negative
C00411,Manager relationship,positive
C00412,Career & progression,negative
C00413,Flexibility & workplace; Joining & onboarding,positive
C00414,Inclusion & voice,negative
C00415,Tools & process,negative
C00416,Manager relationship,positive
C00417,Workload & staffing; Inclusion & voice,negative
C00418,Pay & benefits,positive
C00419,Tools & process,negative
C00420,Tools & process,positive
C00421,Tools & process,positive
C00422,Pay & benefits,negative
C00423,Inclusion & voice,positive
C00424,Inclusion & voice,negative
C00425,Inclusion & voice; Flexibility & workplace,positive
C00426,Flexibility & workplace; Leadership & communication,negative
C00427,Flexibility & workplace,positive
C00428,Joining & onboarding,negative
C00429,Joining & onboarding,positive
C00430,Leadership & communication,negative
C00431,Pay & benefits; Manager relationship,negative
C00432,Pay & benefits,positive
C00433,Manager relationship,negative
C00434,Flexibility & workplace,positive
C00435,Joining & onboarding; Tools & process,negative
C00436,Joining & onboarding,negative
C00437,Career & progression,positive
C00438,Recognition,negative
C00439,Recognition,negative
C00440,Recognition,positive
C00441,Career & progression,negative
C00442,Recognition,negative
C00443,Leadership & communication,negative
C00444,Manager relationship,positive
C00445,Leadership & communication,negative
C00446,Inclusion & voice,positive
C00447,Flexibility & workplace,negative
C00448,Joining & onboarding; Career & progression,negative
C00449,Joining & onboarding,negative
C00450,Pay & benefits,positive
C00451,Workload & staffing,negative
C00452,Flexibility & workplace; Recognition,positive
C00453,Career & progression,negative
C00454,Joining & onboarding,positive
C00455,Pay & benefits,positive
C00456,Flexibility & workplace,positive
C00457,Manager relationship,negative
C00458,Leadership & communication,positive
C00459,Tools & process,negative
C00460,Manager relationship,positive
C00461,Recognition,positive
C00462,Tools & process,positive
C00463,Flexibility & workplace,negative
C00464,Flexibility & workplace,positive
C00465,Workload & staffing,positive
C00466,Recognition; Leadership & communication,negative
C00467,Joining & onboarding,negative
C00468,Manager relationship,negative
C00469,Career & progression,negative
C00470,Inclusion & voice,positive
C00471,Manager relationship,negative
C00472,Joining & onboarding,positive
C00473,Inclusion & voice,positive
C00474,Career & progression; Tools & process,positive
C00475,Tools & process; Inclusion & voice,negative
C00476,Leadership & communication,positive
C00477,Leadership & communication,negative
C00478,Workload & staffing,positive
C00479,Inclusion & voice,negative
C00480,Leadership & communication,positive
C00481,Career & progression,negative
C00482,Joining & onboarding,positive
C00483,Leadership & communication; Career & progression,negative
C00484,Pay & benefits,positive
C00485,Recognition,positive
C00486,Workload & staffing,positive
C00487,Career & progression,negative
C00488,Career & progression,negative
C00489,Career & progression; Tools & process,positive
C00490,Leadership & communication,negative
C00491,Leadership & communication,positive
C00492,Inclusion & voice,negative
C00493,Manager relationship,positive
C00494,Inclusion & voice,positive
C00495,Leadership & communication,negative
C00496,Flexibility & workplace; Pay & benefits,negative
C00497,Tools & process; Career & progression,positive
C00498,Joining & onboarding; Recognition,positive
C00499,Pay & benefits,negative
C00500,Pay & benefits,positive
C00501,Inclusion & voice,negative
C00502,Inclusion & voice,positive
C00503,Tools & process,positive
C00504,Flexibility & workplace,negative
C00505,Tools & process,negative
C00506,Flexibility & workplace,positive
C00507,Recognition,positive
C00508,Joining & onboarding; Workload & staffing,negative
C00509,Tools & process; Recognition,positive
C00510,Leadership & communication,negative
C00511,Joining & onboarding; Leadership & communication,positive
C00512,Career & progression,negative
C00513,Workload & staffing,positive
C00514,Flexibility & workplace,positive
C00515,Career & progression,negative
C00516,Career & progression; Manager relationship,positive
C00517,Manager relationship,negative
C00518,Tools & process,positive
C00519,Inclusion & voice,negative
C00520,Flexibility & workplace,positive
C00521,Recognition,negative
C00522,Joining & onboarding; Career & progression,positive
C00523,Joining & onboarding,positive
C00524,Workload & staffing,negative
C00525,Leadership & communication; Workload & staffing,negative
C00526,Leadership & communication,positive
C00527,Manager relationship,negative
C00528,Career & progression,positive
C00529,Manager relationship,positive
C00530,Pay & benefits,negative
C00531,Leadership & communication,positive
C00532,Leadership & communication; Workload & staffing,negative
C00533,Leadership & communication,positive
C00534,Inclusion & voice,negative
C00535,Pay & benefits,negative
C00536,Leadership & communication,negative
C00537,Tools & process,negative
C00538,Flexibility & workplace,positive
C00539,Recognition,negative
C00540,Tools & process,negative
C00541,Flexibility & workplace,positive
C00542,Career & progression,positive
C00543,Tools & process,negative
C00544,Tools & process,negative
C00545,Leadership & communication,positive
C00546,Career & progression,negative
C00547,Tools & process,negative
C00548,Tools & process,positive
C00549,Pay & benefits,negative
C00550,Inclusion & voice,positive
C00551,Tools & process,negative
C00552,Leadership & communication; Pay & benefits,positive
C00553,Leadership & communication,negative
C00554,Pay & benefits,positive
C00555,Tools & process,negative
C00556,Pay & benefits,positive
C00557,Tools & process,negative
C00558,Inclusion & voice,negative
C00559,Joining & onboarding; Tools & process,positive
C00560,Career & progression,negative
C00561,Recognition,negative
C00562,Flexibility & workplace,positive
C00563,Workload & staffing,negative
C00564,Manager relationship,positive
C00565,Flexibility & workplace,positive
C00566,Tools & process,negative
C00567,Career & progression,positive
C00568,Manager relationship,negative
C00569,Recognition; Inclusion & voice,positive
C00570,Leadership & communication,negative
C00571,Joining & onboarding; Career & progression,negative
C00572,Tools & process,negative
C00573,Workload & staffing,negative
C00574,Inclusion & voice,negative
C00575,Flexibility & workplace; Pay & benefits,positive
C00576,Inclusion & voice; Recognition,positive
C00577,Recognition,negative
C00578,Leadership & communication,positive
C00579,Recognition,negative
C00580,Pay & benefits,positive
C00581,Joining & onboarding,negative
C00582,Inclusion & voice,positive
C00583,Joining & onboarding; Workload & staffing,positive
C00584,Workload & staffing,positive
C00585,Leadership & communication,negative
C00586,Inclusion & voice; Pay & benefits,positive
C00587,Manager relationship; Inclusion & voice,negative
C00588,Manager relationship,positive
C00589,Flexibility & workplace,negative
C00590,Tools & process,negative
C00591,Leadership & communication,positive
C00592,Workload & staffing,negative
C00593,Flexibility & workplace,negative
C00594,Pay & benefits; Tools & process,positive
C00595,Joining & onboarding,negative
C00596,Tools & process; Inclusion & voice,positive
C00597,Inclusion & voice,negative
C00598,Pay & benefits,negative
C00599,Manager relationship,positive
C00600,Flexibility & workplace,negative
C00601,Flexibility & workplace,positive
C00602,Tools & process,negative
C00603,Recognition,positive
C00604,Pay & benefits,negative
C00605,Tools & process,positive
C00606,Inclusion & voice,positive
C00607,Inclusion & voice,negative
C00608,Pay & benefits,positive
C00609,Career & progression,negative
C00610,Manager relationship; Flexibility & workplace,negative
C00611,Joining & onboarding,positive
C00612,Flexibility & workplace,negative
C00613,Workload & staffing,negative
C00614,Manager relationship,positive
C00615,Tools & process; Workload & staffing,negative
C00616,Manager relationship,negative
C00617,Recognition,positive
C00618,Workload & staffing; Recognition,negative
C00619,Inclusion & voice,negative
C00620,Recognition,negative
C00621,Recognition,positive
C00622,Joining & onboarding,negative
C00623,Career & progression,positive
C00624,Leadership & communication,negative
C00625,Leadership & communication,positive
C00626,Flexibility & workplace,negative
C00627,Career & progression,positive
C00628,Career & progression; Tools & process,negative
C00629,Manager relationship; Joining & onboarding,positive
C00630,Career & progression,negative
C00631,Pay & benefits,positive
C00632,Manager relationship,positive
C00633,Inclusion & voice; Tools & process,negative
C00634,Career & progression; Pay & benefits,positive
C00635,Manager relationship,negative
C00636,Recognition,positive
C00637,Workload & staffing,negative
C00638,Pay & benefits,positive
C00639,Recognition,positive
C00640,Flexibility & workplace,positive
C00641,Manager relationship,negative
C00642,Inclusion & voice; Recognition,positive
C00643,Flexibility & workplace,negative
C00644,Joining & onboarding,negative
C00645,Career & progression,negative
C00646,Leadership & communication; Pay & benefits,positive
C00647,Leadership & communication,negative
C00648,Flexibility & workplace,positive
C00649,Joining & onboarding,positive
C00650,Leadership & communication; Manager relationship,negative
C00651,Recognition; Pay & benefits,negative
C00652,Flexibility & workplace,positive
C00653,Workload & staffing; Flexibility & workplace,negative
C00654,Flexibility & workplace,positive
C00655,Workload & staffing,negative
C00656,Manager relationship,negative
C00657,Manager relationship,negative
C00658,Career & progression; Joining & onboarding,negative
C00659,Recognition,positive
C00660,Manager relationship,negative
C00661,Pay & benefits,negative
C00662,Recognition,positive
C00663,Manager relationship,positive
C00664,Workload & staffing; Leadership & communication,negative
C00665,Inclusion & voice; Workload & staffing,negative
C00666,Inclusion & voice,positive
C00667,Tools & process; Career & progression,negative
C00668,Leadership & communication,negative
C00669,Inclusion & voice,positive
C00670,Pay & benefits,negative
C00671,Inclusion & voice,positive
C00672,Tools & process,negative
C00673,Joining & onboarding,positive
C00674,Inclusion & voice,negative
C00675,Career & progression; Tools & process,positive
C00676,Joining & onboarding; Career & progression,positive
C00677,Recognition,negative
C00678,Inclusion & voice,negative
C00679,Tools & process,negative
C00680,Joining & onboarding,negative
C00681,Career & progression,negative
C00682,Manager relationship,negative
C00683,Recognition,positive
C00684,Leadership & communication,negative
C00685,Pay & benefits,negative
C00686,Career & progression,positive
C00687,Career & progression,negative
C00688,Leadership & communication,positive
C00689,Inclusion & voice,positive
C00690,Recognition,positive
C00691,Joining & onboarding,negative
C00692,Pay & benefits,positive
C00693,Workload & staffing,negative
C00694,Tools & process,negative
C00695,Inclusion & voice,positive
C00696,Recognition,negative
C00697,Manager relationship,positive
C00698,Pay & benefits,negative
C00699,Joining & onboarding,negative
C00700,Flexibility & workplace,positive
C00701,Recognition,negative
C00702,Flexibility & workplace,negative
C00703,Career & progression,positive
C00704,Flexibility & workplace,negative
C00705,Career & progression,negative
C00706,Flexibility & workplace,negative
C00707,Career & progression; Leadership & communication,negative
C00708,Manager relationship; Leadership & communication,positive
C00709,Pay & benefits,negative
C00710,Flexibility & workplace; Leadership & communication,negative
C00711,Leadership & communication,positive
C00712,Career & progression,negative
C00713,Recognition,positive
C00714,Tools & process,negative
C00715,Tools & process,negative
C00716,Manager relationship; Flexibility & workplace,negative
C00717,Recognition,positive
C00718,Inclusion & voice,negative
C00719,Workload & staffing; Leadership & communication,negative
C00720,Manager relationship,positive
C00721,Tools & process; Inclusion & voice,negative
C00722,Recognition,positive
C00723,Pay & benefits,negative
C00724,Inclusion & voice,negative
C00725,Tools & process,negative
C00726,Flexibility & workplace,negative
C00727,Joining & onboarding,negative
C00728,Tools & process; Career & progression,positive
C00729,Pay & benefits,positive
C00730,Manager relationship,negative
C00731,Flexibility & workplace,positive
C00732,Leadership & communication,positive
C00733,Workload & staffing,negative
C00734,Recognition; Workload & staffing,positive
C00735,Joining & onboarding; Leadership & communication,negative
C00736,Joining & onboarding,negative
C00737,Leadership & communication,negative
C00738,Workload & staffing,positive
C00739,Recognition; Tools & process,negative
C00740,Career & progression,negative
C00741,Recognition,positive
C00742,Manager relationship,negative
C00743,Career & progression; Joining & onboarding,positive
C00744,Tools & process,negative
C00745,Pay & benefits; Manager relationship,negative
C00746,Tools & process,positive
C00747,Flexibility & workplace,positive
C00748,Leadership & communication; Flexibility & workplace,negative
C00749,Manager relationship,positive
C00750,Manager relationship,positive
C00751,Workload & staffing; Tools & process,positive
C00752,Manager relationship; Inclusion & voice,negative
C00753,Career & progression,positive
C00754,Workload & staffing,negative
C00755,Flexibility & workplace,negative
C00756,Recognition; Career & progression,negative
C00757,Leadership & communication,positive
C00758,Inclusion & voice,negative
C00759,Pay & benefits,positive
C00760,Tools & process,negative
C00761,Workload & staffing,positive
C00762,Manager relationship,negative
C00763,Inclusion & voice; Joining & onboarding,negative
C00764,Manager relationship,positive
C00765,Pay & benefits; Joining & onboarding,negative
C00766,Manager relationship,negative
C00767,Flexibility & workplace,positive
C00768,Tools & process,negative
C00769,Workload & staffing,negative
C00770,Flexibility & workplace,positive
C00771,Flexibility & workplace,positive
C00772,Pay & benefits,negative
C00773,Pay & benefits,positive
C00774,Recognition,negative
C00775,Recognition,positive
C00776,Joining & onboarding,negative
C00777,Tools & process,positive
C00778,Tools & process; Joining & onboarding,negative
C00779,Flexibility & workplace,positive
C00780,Pay & benefits,negative
C00781,Career & progression,positive
C00782,Recognition,negative
C00783,Flexibility & workplace; Leadership & communication,positive
C00784,Inclusion & voice; Tools & process,negative
C00785,Career & progression,negative
C00786,Manager relationship,positive
C00787,Manager relationship,negative
C00788,Manager relationship; Flexibility & workplace,negative
C00789,Manager relationship,negative
C00790,Tools & process; Manager relationship,positive
C00791,Recognition,negative
C00792,Manager relationship; Flexibility & workplace,negative
C00793,Flexibility & workplace; Career & progression,negative
C00794,Inclusion & voice,positive
C00795,Pay & benefits,negative
C00796,Manager relationship,positive
C00797,Workload & staffing,negative
C00798,Workload & staffing,negative
C00799,Pay & benefits,negative
C00800,Workload & staffing,positive
C00801,Pay & benefits,negative
C00802,Leadership & communication,positive
C00803,Pay & benefits; Flexibility & workplace,negative
C00804,Career & progression,negative
C00805,Manager relationship,positive
C00806,Inclusion & voice,negative
C00807,Manager relationship; Leadership & communication,positive
C00808,Inclusion & voice,negative
C00809,Tools & process,positive
C00810,Leadership & communication,positive
C00811,Workload & staffing,negative
C00812,Recognition,negative
C00813,Recognition,positive
C00814,Workload & staffing,negative
C00815,Leadership & communication,positive
C00816,Joining & onboarding,negative
C00817,Inclusion & voice,positive
C00818,Tools & process,positive
C00819,Joining & onboarding,negative
C00820,Workload & staffing,positive
C00821,Tools & process,negative
C00822,Recognition,negative
C00823,Tools & process,positive
C00824,Workload & staffing,negative
C00825,Joining & onboarding; Leadership & communication,positive
C00826,Recognition,negative
C00827,Manager relationship,positive
C00828,Pay & benefits,negative
C00829,Workload & staffing,positive
C00830,Manager relationship; Pay & benefits,negative
C00831,Career & progression,positive
C00832,Workload & staffing,negative
C00833,Career & progression,positive
C00834,Manager relationship,negative
C00835,Inclusion & voice,positive
C00836,Leadership & communication; Workload & staffing,negative
C00837,Manager relationship; Flexibility & workplace,positive
C00838,Workload & staffing,negative
C00839,Leadership & communication,positive
C00840,Workload & staffing; Career & progression,negative
C00841,Career & progression,positive
C00842,Flexibility & workplace,negative
C00843,Workload & staffing,positive
C00844,Manager relationship,negative
C00845,Recognition,positive
C00846,Career & progression,negative
C00847,Leadership & communication,negative
C00848,Career & progression,negative
C00849,Leadership & communication; Flexibility & workplace,positive
C00850,Tools & process; Manager relationship,positive
C00851,Leadership & communication,positive
C00852,Inclusion & voice,negative
C00853,Workload & staffing,positive
C00854,Leadership & communication,negative
C00855,Tools & process,positive
C00856,Joining & onboarding,negative
C00857,Pay & benefits; Inclusion & voice,positive
C00858,Flexibility & workplace,negative
C00859,Career & progression,negative
C00860,Pay & benefits,negative
C00861,Workload & staffing; Recognition,positive
C00862,Manager relationship,negative
C00863,Recognition,positive
C00864,Recognition,negative
C00865,Joining & onboarding,positive
C00866,Joining & onboarding,positive
C00867,Workload & staffing,negative
C00868,Flexibility & workplace,positive
